Date,Dove_Bar_Offline_Volume,Dove_Bar_Offline_Average_Price,Safeguard_PW_TV_GRP,Dove_Bar_Offline_TDP_Distribution,Dove_PW_MSP_TV_GRP,DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.OOH_ownM_0370,DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.PREROLL_ownM_0370,DOVE.Shampoo_ALL_ALL_ALL_CDS.DIGITAL.ACTIVATION_haloD_0330,DOVE.Shampoo_ALL_ALL_ALL_CDS.SOCIAL_haloD_0330,DOVE_ALL_BAR_OFFLINE.RETAIL_CDP_ownpromo.L2,DOVE_ALL_BAR_OFFLINE.RETAIL_BBP.RT_ownpromo.L2,DOVE_OTHERS_BAR_OFFLINE.RETAIL_TCP.DM_ownpromo.L2,DOVE_OTHERS_BAR_OFFLINE.RETAIL_CPP_ownpromo.L2,DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.OOH_haloM_0370,DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.PREROLL_haloM_0370,SET1.RETAIL,SET1.ONLINE
44518,63442.268,67.12744727,425.1342077,70,75.1810319,1296583.2,1206859.3,0,1664489.74,0,4228722.73,2657.971276,136111.47,3186215,1188975.47,40.31392292,44.17354966
44548,85973.736,61.82503224,347.3231891,70,36.31414784,1172486.6,1163683.3,0,268731.2,3987638.74,2653780.348,2558.654732,476668.73,0,0,40.07138551,56.38985437
44215,69313.816,66.29365926,336.4163152,68,0,937380,0,0,625120.95,3889091.87,4415272.542,1974.172321,553060.19,2764172.34,3855772.16,40.76184952,61.82241439
44246,72671.936,66.88202169,427.8508495,68,0,937380,0,0,5088717.13,4165344.52,0,465.0682294,480517.66,2529902.34,5942711.32,41.30314823,55.55485645
44274,60767.228,70.05673354,360.2622173,66,0,593750,0,154827.3,3168204.9,3953594.31,2333480.92,292.6333883,376982.12,474074.37,6236319.48,41.99413351,53.64542307
44305,51750.984,68.20096406,462.3681774,61,121.0746626,1791434,3640621.49,50000,4064854.53,3504690.61,4190627.94,43630.80816,410452.13,1219031.37,4310712.39,41.31602546,46.67955514
44335,51570.488,65.40050096,432.1891343,57,0.005211962,0,0,0,0,7955267.35,44434.49,468.5727508,304296.07,835272,1702011.26,41.47628106,54.54246284
44366,73780.864,57.74592854,1.55,69,61.5386907,486540,1583859.3,0,1517622,3761997.22,5680947.13,77.69981792,348097.73,1597434.55,1887108.74,39.52436857,56.3424207
44396,30944.136,68.33213892,622.0445862,60,0,0,0,0,48770.57,2964586.67,3119483.03,370.1,84405.91,0,0,41.67812927,55.04718239
44427,38703.836,67.57380586,597.3743537,55,83.63700908,855729,3264811.2,0,576172.52,3494455.36,2028908.09,20383.18605,360331.27,0,1925062.97,41.03391177,56.64317618
44458,38422.576,68.69471089,465.7738007,61,0.509663122,0,0,0,1559011.76,4198544.85,4673859.23,1506.69907,384064.31,743583,1738286.6,40.62834059,58.39744533
44488,49796.728,64.86266025,444.9123709,60,61.21255234,2737546,4757238.84,400000,1469924.33,4399544.88,1874285.28,180.6444114,500133.93,0,3728815.75,41.54415464,56.01250374
44519,46166.304,66.83805574,446.8773368,59,38.13517315,550800,2178631.08,0,4807890.49,4583810.43,4103292.42,180.1881991,278594.39,1182759.28,3728815.75,41.67309377,47.98761656
44549,83284.928,55.21204869,0,60,93.9921101,1111494,4366528.66,56250,277930.94,4187804.85,4649914.54,285.5718528,590327.56,887441,5852107.88,42.28506804,54.45056376
44216,51111.12,66.51520745,0,56,0,0,0,0,249672.4,5276372.51,3242990.03,490.6260744,458127.71,538587,2435483.7,42.63120962,53.48114243
44247,50231.812,65.65956151,0,51,46.92041947,943704,3924235.27,0,2224054.41,4951621.54,4419066.77,3172.608024,680368.69,953394,3744211.9,42.94905822,52.82696953
44275,41890.844,70.09672567,0,50,62.41974571,1061232,3820009.96,617692.3,8710677.14,4364937.42,3055290.672,2704.38,663302.55,859379.24,1817186.24,43.26642139,48.50958226
44306,39394.628,68.00084519,0,47,57.00942536,554273,3833650.4,842307.7,7507320.21,4117370.39,6929050.918,39806.00749,435169.5,90723.43,1703612.42,42.29279211,43.33622312
44336,36385.184,68.27463756,0,41,0,0,0,0,313802.52,5747089.13,7406404.52,16156.46251,443313.74,0,0,42.66371429,49.43179319
44367,78855.544,49.64228641,552.563825,53,65.52775415,512080,3811606.62,0,401416.19,3315375.72,3724334.55,1726.17,463683.23,0,0,40.69479588,47.08653954
44397,40503.232,65.38865219,397.1014673,46,0,0,0,70000,2046054.06,4276889.97,3150426.09,4999.13,149288.55,0,0,43.03839957,49.42099289
44428,52013.652,58.70349673,844.3648007,48,53.46901608,512080,3279755.96,20000,6417222.12,4436410.91,6448951.29,14414.44,188701.48,858673.33,2683249.8,42.69650463,50.06059353
44459,35814.756,68.61364629,916.9627845,42,0,0,906344.37,0,2618363.37,4089415.12,4475499.446,15355.07,192056.19,0,1601328.27,43.70515559,50.76928768
44489,49257.416,60.95355773,1015.065582,45,73.01929549,0,4269262.68,0,6260120.372,4806914.85,1008351.674,43293.38,190295.3,648263,3578198.19,43.56540918,49.73782361
44520,44817.264,66.9268934,1058.20116,45,1.994041786,0,4062621.94,0,7294997.06,4600123.19,1254488.58,11195.42,349905.53,264448,1731880.16,43.2802279,41.28508365
44550,69668.024,57.50478512,0,46,0,0,0,0,478396.27,4348124.81,8601564.18,8953.08,313182.86,647196.33,2052089.06,43.23155729,51.76077681
